"hx","exp1","exp2","exp3","exp4","exp5","exp6","exp7","exp8","exp9","exp10","exp11","exp12"
300,0.914840100610852,0.898488120950324,0.856719733432062,0.728961114335461,0.915347376684548,0.902471432367792,0.868776077885953,0.750941910813699,0.917647617239415,0.909382570549335,0.876058989645435,0.769795740982182
301,0.870643190801294,0.862730981521478,0.826730840429471,0.706326175275682,0.881329320947272,0.873859509256799,0.844089012517385,0.731260192318506,0.886320486045187,0.883127087016303,0.85341491475787,0.750717079530639
302,0.839741286381603,0.836333093352532,0.805997778600518,0.689640162507255,0.850713070783724,0.847993622110019,0.821974965229485,0.713434178710004,0.854044047845073,0.855725790610882,0.829463445246313,0.730856149500217
303,0.814947897951851,0.814734821214303,0.786745649759348,0.673969820081254,0.815386628287322,0.817432899282487,0.796036161335188,0.692515323623686,0.823144104803493,0.828586394290578,0.806505595648991,0.711864406779661
304,0.787639238232124,0.788576913846892,0.76360607182525,0.656413232733604,0.783854507392385,0.792187084772788,0.77461752433936,0.675251644829331,0.791769508258971,0.801545210502193,0.783077083987031,0.692416340721425
305,0.754581386992454,0.759779217662587,0.738059977786005,0.635519442832269,0.75088316106241,0.764372397909469,0.751390820584145,0.656244728111117,0.764049743687108,0.777319452628822,0.761975734755779,0.674728378965667
306,0.72403880704276,0.733141348692105,0.714365049981488,0.616221706326175,0.723014523093026,0.741606873948091,0.731432545201669,0.639149749761008,0.738181127776723,0.754010345053362,0.741606526513963,0.657692307692308
307,0.695652173913043,0.707943364530838,0.692891521658645,0.598955310504933,0.693706659688604,0.717601204712552,0.710083449235049,0.621548670078165,0.71046136320486,0.72991553722255,0.720557473067671,0.640243372446762
308,0.668343514193317,0.684665226781857,0.674379859311366,0.585026117237377,0.66531466701557,0.692975462839933,0.688247566063978,0.603666422988247,0.680795519270932,0.704249328881032,0.69731199665307,0.620686657974794
309,0.644268774703557,0.662826973842093,0.655868196964087,0.570081253627394,0.638361899777574,0.668969793604394,0.667315716272601,0.587190012933701,0.655116764761724,0.681267596411969,0.677308858905972,0.603759235115167
310,0.62199065756378,0.642188624910007,0.63680118474639,0.554120719674986,0.610100745780453,0.643015324652316,0.644019471488178,0.567620761401338,0.628536168596924,0.657336476134355,0.656102918104801,0.586440677966102
311,0.600071864893999,0.619870410367171,0.61754905590522,0.538450377248984,0.587465654847573,0.621844273186288,0.62461752433936,0.552044087049429,0.602287829884185,0.634092843580174,0.635602970400586,0.569534984789222
312,0.572763205174272,0.592032637389009,0.593298778230285,0.518136970400464,0.564045531859218,0.599964567277881,0.60452016689847,0.535511443513468,0.578412758686159,0.611569436260067,0.615939755255726,0.553085614950022
313,0.550844412504492,0.57331413486921,0.576453165494261,0.504497968659315,0.54049457019495,0.57790769775888,0.58518776077886,0.519091266940336,0.554205430036074,0.589340666535717,0.596198096433427,0.536810082572794
314,0.527128997484729,0.55123590112791,0.557015920029619,0.488827626233314,0.518775349993458,0.55647090087696,0.565924895688456,0.503177191699938,0.532371368900702,0.568519609768873,0.577188578600565,0.5206431986093
315,0.50700682716493,0.53083753299736,0.538689374305813,0.473737666860128,0.496794452440141,0.536628576490389,0.547148817802503,0.487769217792274,0.509682931460034,0.547829503044589,0.55864972283234,0.505084745762712
316,0.483291412145167,0.510919126469882,0.520918178452425,0.45937318630296,0.47507523223865,0.515900434050846,0.528929068150209,0.471967609514705,0.48803873172584,0.526910233745826,0.539247986612279,0.489243807040417
317,0.464606539705354,0.490280777537797,0.50129581636431,0.442832269297737,0.457673688342274,0.498184072991408,0.513212795549374,0.459090142270708,0.467296373647238,0.507365939893931,0.521336680263571,0.474098218166015
318,0.445203018325548,0.470602351811855,0.48407997038134,0.429193267556587,0.436608661520345,0.478518912215431,0.495827538247566,0.444750604509925,0.447313461173343,0.487396058403719,0.503268486559983,0.458778791829639
319,0.424362199065756,0.450443964482841,0.466308774527953,0.414538595473012,0.418552924244407,0.461954114624856,0.479624478442281,0.431367035933195,0.429086766660338,0.470143390296602,0.487396715824705,0.445328118209474
320,0.412145167085879,0.434605231581473,0.451869677897075,0.403221125943122,0.400235509616643,0.44414917176012,0.462726008344924,0.417421132542316,0.411192329599392,0.452563347083088,0.471054283024788,0.43129074315515
321,0.395616241466044,0.419486441084713,0.436875231395779,0.39103308183401,0.380609708229753,0.426609974311276,0.446036161335188,0.403868863521341,0.393487753939624,0.43534341648661,0.454921033364711,0.417731421121252
322,0.379446640316206,0.402927765778738,0.420214735283228,0.377394080092861,0.361245584194688,0.408450704225352,0.429624478442281,0.390147894056121,0.377112208088096,0.418778236102927,0.438238677962556,0.403672316384181
323,0.363277039166367,0.386849052075834,0.404109589041096,0.364915844457342,0.345544943085176,0.392771724687749,0.415159944367177,0.377945228589102,0.361258781089804,0.403096968506515,0.423020604539274,0.390938722294655
324,0.347107438016529,0.37197024238061,0.388744909292855,0.352872896111434,0.331545204762528,0.378687217645496,0.400556328233658,0.365855030084913,0.345690146193279,0.387415700910103,0.408743855245267,0.379009126466754
325,0.330937836866691,0.355171586273098,0.372454646427249,0.339814277423099,0.312704435431113,0.360527947559571,0.384492350486787,0.352358994545352,0.330975887602051,0.372356446015845,0.394911620123418,0.367057800956106
326,0.314408911246856,0.340292776577874,0.358941132913736,0.329222286709228,0.294779536831087,0.34228009566835,0.367663421418637,0.338413091154473,0.315502183406114,0.356085903227919,0.379536659345257,0.354280747501087
327,0.303629177146964,0.328053755699544,0.348204368752314,0.321387115496228,0.281695669239827,0.328284170431393,0.354589707927677,0.32756002924141,0.301167647617239,0.341746873567734,0.366070494718126,0.342633637548892
328,0.292849443047072,0.31725461963043,0.337652721214365,0.311810795124782,0.268350124296742,0.315351226858003,0.342280945757997,0.316706967328347,0.285504082020125,0.326949518758594,0.35153226649932,0.330073880921339
329,0.278835788717212,0.304295656347492,0.325805257312107,0.301508995937319,0.257359675520084,0.303392683142882,0.329972183588317,0.306135072822358,0.272118853237137,0.313658089438879,0.339059721786424,0.319274228596263
330,0.26697808120733,0.293496520278378,0.314328026656794,0.292513058618688,0.245845872039775,0.291434139427762,0.317524339360223,0.29545071135354,0.25963546610974,0.300072022523407,0.325672000836733,0.307757496740548
331,0.253683075817463,0.278857691384689,0.300444279896335,0.280760301799187,0.234724584587204,0.278678359464966,0.30528511821975,0.285272451217455,0.247721663185874,0.287631768480325,0.313565526618555,0.297153411560191
332,0.24398131512756,0.270218382529398,0.291743798593114,0.272925130586187,0.224519167866021,0.266276906723359,0.292837273991655,0.274869257155711,0.235095880007594,0.274176651607412,0.301092981905658,0.286462407648848
333,0.231404958677686,0.258939284857211,0.281377267678638,0.263784097504353,0.213659557765275,0.255027017450616,0.282058414464534,0.266321767980656,0.223799126637555,0.262325672755844,0.289666352891957,0.276205997392438
334,0.218109953287819,0.245260379169666,0.268048870788597,0.252901915264074,0.20384665707183,0.244397200814953,0.271696801112656,0.257324410954282,0.212359977216632,0.250311006351077,0.278265871770735,0.266492829204694
335,0.207689543657923,0.234461243100552,0.257312106627175,0.243615786419037,0.192987046971085,0.233944547789884,0.261891515994437,0.248608221334983,0.201870134801595,0.239114777712303,0.266603911724715,0.256040851803564
336,0.19798778296802,0.225341972642189,0.24768604220659,0.235055136390017,0.183566662305377,0.223580476570112,0.251808066759388,0.240060732159928,0.193231441048035,0.229784587179991,0.257112226754524,0.247848761408083
337,0.185052102048149,0.212383009359251,0.236023694927805,0.224172954149739,0.175323825722884,0.213747896182124,0.241376912378303,0.231063375133555,0.184070628441238,0.22029070909448,0.247385210752013,0.239091699261191
338,0.173913043478261,0.203023758099352,0.22639763050722,0.215902495647127,0.167735182519953,0.204889715652405,0.232753824756606,0.223528088623967,0.173485855325612,0.210109343285537,0.237056793222466,0.229986962190352
339,0.168523176428315,0.194624430045596,0.216956682710107,0.20821242019733,0.159230668585634,0.194437062627336,0.222531293463143,0.214868132486082,0.165084488323524,0.201073790348982,0.227486664574835,0.221642764015645
340,0.158462091268415,0.18334533237341,0.206219918548686,0.198200812536274,0.152819573465917,0.18832491806183,0.215299026425591,0.208457515604791,0.156825517372318,0.192070974923067,0.21864867691664,0.213885267275098
341,0.15199425080848,0.177345812335013,0.199000370233247,0.191816598955311,0.144838414235248,0.179112410310922,0.206258692628651,0.20030366079964,0.148803873172584,0.182838996922674,0.209261583516369,0.205867014341591
342,0.142651814588573,0.167506599472042,0.189559422436135,0.183691236215902,0.139604867198744,0.172823102134822,0.198609179415855,0.19344317606703,0.141351813176381,0.174458194198913,0.200972701600251,0.198392003476749
343,0.133668702838663,0.160547156227502,0.183820807108478,0.178177597214161,0.132147062671726,0.164762157852777,0.19019471488178,0.185851656076028,0.13380482247959,0.166044653964513,0.192474636544295,0.191047370708388
344,0.126122888968739,0.151427885769138,0.174009626064421,0.170342426001161,0.125212612848358,0.156966958986624,0.182336578581363,0.178766237417759,0.126732485285741,0.158253126432266,0.184839451940174,0.184093872229465
345,0.120373697448796,0.143508519318455,0.165864494631618,0.162362159024956,0.120371581839592,0.151031978031712,0.17538247566064,0.17319912275769,0.119707613442187,0.150068748772343,0.176681309486455,0.176597131681877
346,0.112109234638879,0.135349172066235,0.157719363198815,0.155832849680789,0.112652099960748,0.143945433607937,0.168428372739917,0.166507338469325,0.112967533700399,0.142506383814575,0.168889237527455,0.169600173837462
347,0.106360043118936,0.129589632829374,0.151610514624213,0.150464306442252,0.106241004841031,0.136770307378864,0.160848400556328,0.159309452848226,0.106132523258022,0.134714856282328,0.160940278213576,0.162364189482834
348,0.0998922026590011,0.122630189584833,0.144576082932247,0.144370284387696,0.100745780452702,0.131012490034547,0.154450625869263,0.153573637743913,0.10024681982153,0.12813461664375,0.154481748771049,0.156540634506736
349,0.0930650377290694,0.115430765538757,0.136245834875972,0.136970400464306,0.0942038466570718,0.124634600053149,0.148122392211405,0.147781589158185,0.0949307005885703,0.122601977345643,0.148572325070599,0.150999565406345
350,0.0880344951491197,0.108711303095752,0.12884116993706,0.130005803830528,0.089231976972393,0.118345291877048,0.141585535465925,0.141877073609627,0.0887602050503132,0.115890787664506,0.141564689885995,0.144784876140808
351,0.0819259791591808,0.101751859851212,0.121991854868567,0.124637260591991,0.0836059139081512,0.112144565506245,0.134840055632823,0.136197491986729,0.0832067590658819,0.108524847770575,0.133877209496915,0.1377444589309
352,0.0790513833992095,0.0962323014158867,0.116068122917438,0.119994196169472,0.0790265602512102,0.10629816635663,0.128442280945758,0.13063037732666,0.0785076893867477,0.103385058600144,0.128150821043824,0.132464146023468
353,0.0740208408192597,0.0911927045836333,0.111440207330618,0.115931514799768,0.0740546905665315,0.10062893081761,0.122809457579972,0.125569363999325,0.0739510157584963,0.0978196817913966,0.122319841020814,0.127270751847023
354,0.0682716492993173,0.0854331653467723,0.106071825249907,0.110853163087638,0.0698678529373282,0.095048277083887,0.117176634214186,0.120677051116235,0.0700113916840707,0.0928763176848032,0.116933375169961,0.122294654498044
355,0.0639597556593604,0.0808735301175906,0.101258793039615,0.106355194428323,0.0660735313358629,0.0899105323766498,0.111891515994437,0.116065905640218,0.0660717676096449,0.088456753748445,0.112252902416065,0.117948717948718
356,0.0582105641394179,0.0739140868730501,0.0947797112180674,0.100116076610563,0.0620175323825722,0.0846842058641155,0.105632823365786,0.110217623573075,0.0620372128346307,0.0838080272376088,0.107310950737371,0.113385484571925
357,0.0549766439094502,0.0705543556515479,0.0905220288781933,0.0964886825304702,0.0587465654847573,0.0808751882363362,0.101808066759388,0.106731147725356,0.0581925194607936,0.0790610881948537,0.101819893316599,0.108474576271186
358,0.0524613726194754,0.0676745860331174,0.0875601629026287,0.0934416715031922,0.0556064372628549,0.0768890069979626,0.0979833101529902,0.102907270989147,0.0543952914372509,0.0750671118968114,0.097453195272461,0.104302477183833
359,0.0495867768595041,0.0640748740100792,0.0827471306923362,0.0887986070806732,0.0519429543373021,0.0725484985384002,0.0924200278164117,0.0976775572175673,0.0505505980634137,0.070123747790218,0.0920667294216087,0.0995654063450674
360,0.0470715055695293,0.0599952003839693,0.0784894483524621,0.0850261172373766,0.0491953421431375,0.0690052263265125,0.0881780250347706,0.0938536804813586,0.0476077463451681,0.0661625090028154,0.087700031377471,0.0952629291612342
361,0.0445562342795545,0.0573554115670747,0.075897815623843,0.0821242019733024,0.0465785686248855,0.065550535919922,0.0845618915159945,0.0905359050778833,0.0445224985760395,0.0625286453218097,0.0834640727957326,0.0911777488048674
362,0.0420409629895796,0.0544756419486441,0.0725657164013328,0.0784968078932096,0.0439617951066336,0.0618301000974399,0.0796244784422809,0.0858122926390373,0.0419119043098538,0.0594513193216788,0.0795157410312729,0.08748370273794
363,0.0377290693496227,0.0506359491240701,0.0686782673084043,0.0744341265235056,0.0408216668847311,0.0585525733014439,0.0760083449235048,0.082494517235562,0.0388741218910196,0.0562430432789891,0.0756458529442527,0.0838113863537593
364,0.0352137980596479,0.0477561795056396,0.0651610514624213,0.07109692396982,0.0383357320423917,0.055806537337231,0.0723922114047287,0.0791767418320868,0.0360736662236567,0.0530347672362994,0.0717498169647527,0.080160799652325
365,0.0312612288896874,0.0443964482841372,0.06108848574602,0.0673244341265236,0.034672249116839,0.0519975197094517,0.0680111265646731,0.075015464207389,0.0338902601101196,0.0505139789170431,0.0686120698671687,0.0769882659713168
366,0.0294646065397054,0.0427165826733862,0.0586819696408738,0.065002901915264,0.03270966897815,0.0489857383293472,0.0643254520166898,0.071641455322499,0.0315644579456996,0.0473384403849931,0.0653697311996653,0.073794002607562
367,0.0262306863097377,0.0403167746580274,0.0555349870418363,0.061955890887986,0.0308779275153735,0.0461511205598371,0.0610570236439499,0.0687173142889276,0.0297607746345168,0.0447521770444576,0.0622058362096015,0.0707953063885267
368,0.0247933884297521,0.0386369090472762,0.0538689374305813,0.059924550203134,0.0291770247285097,0.0436708300115156,0.0579276773296244,0.0660181071810155,0.0275773685209797,0.0420349636613632,0.0590942370044975,0.0679487179487179
369,0.0219187926697808,0.0362371010319175,0.0503517215845983,0.0573128264654672,0.0278686379693838,0.0414562848790858,0.0547983310152991,0.0629814991846145,0.0255838238086197,0.0391868002357101,0.0557996025520343,0.0647979139504563
370,0.0208408192597916,0.0347972162227022,0.0481303221029249,0.054846198491004,0.0264294125343452,0.0395960669678448,0.0521557719054242,0.0603947590395322,0.0238276058477311,0.036862436980292,0.0529756301642088,0.0620165145588875
371,0.0194035213798059,0.0319174466042716,0.0446131062569419,0.0515089959373186,0.024859348423394,0.0371157764195235,0.049095966620306,0.0574143845245459,0.0215967343838998,0.0340797485759183,0.049785587281665,0.0589091699261191
372,0.0190441969098095,0.0302375809935205,0.0423917067752684,0.049332559489263,0.0232892843124427,0.0349012312870937,0.0465924895688457,0.0551650452679525,0.0200778431744826,0.0320172854056178,0.0472492417111181,0.0563450673620165
373,0.0176068990298239,0.0285577153827694,0.0401703072935949,0.0471561230412072,0.0218500588774042,0.0329524315705554,0.0443671766342142,0.0528032390485295,0.0186064173153598,0.0298238721927585,0.0445037130007322,0.053715775749674
374,0.0150916277398491,0.0251979841612671,0.0364679748241392,0.044254207777133,0.01962580138689,0.0301178138010453,0.0417941585535466,0.0501602654220322,0.0176096449591798,0.0280233091075754,0.0422288463549838,0.0513472403302911
375,0.0132950053898671,0.0232781377489801,0.0344316919659385,0.0420777713290772,0.0188407693314143,0.028611923110993,0.040125173852573,0.0483607940167575,0.0165179419024113,0.02648464610751,0.0399278318167555,0.0490873533246414
376,0.0132950053898671,0.0211183105351572,0.0325805257312106,0.0403366221706326,0.0174015438963757,0.0270174506156435,0.0381780250347705,0.0463926221672384,0.015141446743877,0.0245531329797682,0.0376268172785273,0.0466753585397653
377,0.0129356809198706,0.0196784257259419,0.0303591262495372,0.0383052814857806,0.0162239958131624,0.0252458145096998,0.0361613351877608,0.0442557498734747,0.0137649515853427,0.0227853074052249,0.0354303943102185,0.0444372012168622
378,0.0125763564498742,0.0189584833213343,0.0283228433913365,0.036564132327336,0.0146539317022112,0.0232970147931615,0.0342141863699583,0.0425125119496148,0.0128156445794569,0.0214758069796372,0.0336261897291078,0.0426119078661451
379,0.0122170319798778,0.0179985601151907,0.027027027027027,0.0352582704585026,0.0134763836189977,0.0219682877137036,0.0327538247566064,0.0411066749142439,0.0123409910765141,0.0201990440646893,0.0319788725028762,0.0407648848326815
380,0.0122170319798778,0.0177585793136549,0.0268419104035542,0.0349680789320952,0.0126913515635222,0.0199309061918682,0.0303894297635605,0.0388573356576506,0.011818872223277,0.0190532311923002,0.0301746679217655,0.0390047805302043
